Event,Name,Time
1000 Free ,Marcella Ruppert-Gomez,10:06.37
1000 Free ,Carlie Rose,10:07.56
1000 Free ,Lizzie Brock,10:20.32
1000 Free ,Grace Yoon,10:33.68
1000 Free ,Kate Hazlett,10:38.70
1000 Free ,Liz Boyer,10:39.94
1000 Free ,Robin Cruz-Abrams,10:40.26
50 Free,Anya Mostek,22.72
50 Free,Mandy Brenner,22.89
50 Free,Darlene Fung,23.06
50 Free,Athena Ye,23.8
50 Free,Samantha Shelton,23.84
50 Free,Addie Rose Bullock,23.96
50 Free,Kaia Li,24.09
50 Free,Molly Hamlin,24.2
50 Free,Victoria Eisenhauer,24.33
50 Free,Kate Hazlett,24.48
50 Free,Amber van Meines,24.53
50 Free,Abby Carr,24.79
50 Free,Aleksandra DENISENKO,25.27
50 Free,Alison Hu,25.33
50 Free,Carlie Rose,25.34
50 Free,Erin Cavanagh,25.4
50 Free,Grace Yoon,26.19
50 Free,Liz Boyer,26.5
50 Free,Natalie Whalen,26.71
100 Free,Anya Mostek,49.5
100 Free,Mandy Brenner,49.82
100 Free,Molly Hamlin,49.87
100 Free,Samantha Shelton,50.15
100 Free,Darlene Fung,50.97
100 Free,Addie Rose Bullock,52.18
100 Free,Erin Cavanagh,52.82
100 Free,Carlie Rose,53.21
100 Free,Kaia Li,53.28
100 Free,Amber van Meines,53.71
100 Free,Athena Ye,54.1
100 Free,Grace Yoon,54.41
100 Free,Liz Boyer,54.87
100 Free,Natalie Whalen,55.58
100 Free,Aleksandra DENISENKO,55.72
100 Free,Alison Hu,55.91
200 Free,Samantha Shelton,1:46.13
200 Free,Anya Mostek,1:46.56
200 Free,Molly Hamlin,1:47.66
200 Free,Addie Rose Bullock,1:48.39
200 Free,Sydney Lu,1:49.64
200 Free,Erin Cavanagh,1:52.26
200 Free,Kate Hazlett,1:53.05
200 Free,Robin Cruz-Abrams,1:53.32
200 Free,Grace Yoon,1:57.39
500 Free,Sydney Lu,4:51.81
500 Free,Molly Hamlin,4:53.40
500 Free,Marcella Ruppert-Gomez,4:55.95
500 Free,Carlie Rose,4:56.70
500 Free,Samantha Shelton,4:58.45
500 Free,Lizzie Brock,5:01.61
500 Free,Kate Hazlett,5:01.61
500 Free,Grace Yoon,5:02.32
500 Free,Erin Cavanagh,5:03.13
500 Free,Robin Cruz-Abrams,5:04.85
100 Back,Anya Mostek,52.62
100 Back,Abby Carr,54.01
100 Back,Addie Rose Bullock,54.53
100 Back,Samantha Shelton,55.61
100 Back,Molly Hamlin,55.67
100 Back,Kaia Li,55.7
100 Back,Athena Ye,56.51
100 Back,Victoria Eisenhauer,56.96
100 Back,Amber van Meines,58.32
100 Back,Mandy Brenner,58.5
100 Back,Natalie Whalen,58.81
100 Back,Alison Hu,1:02.25
200 Back,Samantha Shelton,1:54.42
200 Back,Anya Mostek,1:55.64
200 Back,Addie Rose Bullock,1:57.93
200 Back,Kate Hazlett,1:58.46
200 Back,Molly Hamlin,1:58.65
200 Back,Maggie Buckley,1:59.95
200 Back,Athena Ye,2:05.12
200 Back,Erin Cavanagh,2:05.48
200 Back,Victoria Eisenhauer,2:10.64
200 Back,Carlie Rose,2:13.59
100 Breast,Aleksandra DENISENKO,1:01.73
100 Breast,Kaia Li,1:01.78
100 Breast,Victoria Eisenhauer,1:02.04
100 Breast,Sophia Zhang,1:02.12
100 Breast,Liz Boyer,1:04.24
100 Breast,Anya Mostek,1:04.77
100 Breast,Maggie Buckley,1:05.30
100 Breast,Sophie Butte,1:11.01
200 Breast,Aleksandra DENISENKO,2:15.79
200 Breast,Victoria Eisenhauer,2:15.89
200 Breast,Kaia Li,2:16.57
200 Breast,Liz Boyer,2:17.27
200 Breast,Sophia Zhang,2:17.85
200 Breast,Grace Yoon,2:18.62
200 Breast,Anya Mostek,2:19.63
200 Breast,Maggie Buckley,2:22.30
200 Breast,Erin Cavanagh,2:22.76
200 Breast,Alison Hu,2:26.17
200 Breast,Sophie Butte,2:32.54
100 Fly,Sydney Lu,52.31
100 Fly,Abby Carr,53.34
100 Fly,Mandy Brenner,54.53
100 Fly,Darlene Fung,54.8
100 Fly,Addie Rose Bullock,55.29
100 Fly,Athena Ye,55.52
100 Fly,Molly Hamlin,56.5
100 Fly,Natalie Whalen,57.99
100 Fly,Liz Boyer,58.54
100 Fly,Amber van Meines,58.75
100 Fly,Kaia Li,59.48
100 Fly,Sophia Zhang,1:00.08
100 Fly,Sophie Butte,1:00.21
100 Fly,Alison Hu,1:00.92
200 Fly,Abby Carr,1:58.99
200 Fly,Sydney Lu,1:59.36
200 Fly,Grace Yoon,2:01.21
200 Fly,Marcella Ruppert-Gomez,2:08.36
200 Fly,Liz Boyer,2:08.39
200 Fly,Natalie Whalen,2:08.93
200 Fly,Sophia Zhang,2:10.21
200 Fly,Alison Hu,2:10.32
200 Fly,Samantha Shelton,2:10.89
200 IM,Samantha Shelton,1:59.43
200 IM,Anya Mostek,1:59.65
200 IM,Kaia Li,2:01.30
200 IM,Aleksandra DENISENKO,2:02.70
200 IM,Maggie Buckley,2:02.99
200 IM,Addie Rose Bullock,2:03.13
200 IM,Erin Cavanagh,2:04.00
200 IM,Liz Boyer,2:05.37
200 IM,Molly Hamlin,2:07.89
200 IM,Kate Hazlett,2:08.02
200 IM,Lizzie Brock,2:09.01
200 IM,Alison Hu,2:10.64
200 IM,Abby Carr,2:10.99
200 IM,Sophia Zhang,2:11.08
200 IM,Victoria Eisenhauer,2:13.09
400 IM,Maggie Buckley,4:21.06
400 IM,Grace Yoon,4:21.16
400 IM,Samantha Shelton,4:21.45
400 IM,Kate Hazlett,4:24.23
400 IM,Liz Boyer,4:25.36
400 IM,Kaia Li,4:26.62
400 IM,Lizzie Brock,4:27.42
400 IM,Marcella Ruppert-Gomez,4:33.79